R	53.3334	-6.40628	A225	19 Feb 2025	A225\n17:25 - Cork to Dublin Heuston (0 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A227	19 Feb 2025	A227\n18:25 - Cork to Dublin Heuston (3 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A229	19 Feb 2025	A229\n19:25 - Cork to Dublin Heuston (17 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A231	19 Feb 2025	A231\n20:25 - Cork to Dublin Heuston (4 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	A521	19 Feb 2025	A521\n14:50 - Waterford to Dublin Heuston (1 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3345	-6.43038	A222	19 Feb 2025	A222\n17:00 - Dublin Heuston to Cork (1 mins late)\nArrived Kishoge next stop Limerick Junction	To Cork
R	53.3345	-6.43038	D414	19 Feb 2025	D414\n16:28 - Grand Canal Dock to Hazelhatch (2 mins late)\nArrived Kishoge next stop Adamstown	Southbound
R	53.3353	-6.45233	P815	19 Feb 2025	P815\n17:05 - Hazelhatch to Dublin Connolly (0 mins late)\nArrived Adamstown next stop Kishoge	To Dublin Connolly
R	53.3397	-6.23773	D925	19 Feb 2025	D925\n17:09 - Grand Canal Dock to Longford (0 mins late)\nDeparted Grand Canal Dock next stop Dublin Pearse	To Longford
R	53.3397	-6.23773	E244	19 Feb 2025	E244\n16:35 - Howth to Bray (0 mins late)\nDeparted Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.347	-6.25425	E832	19 Feb 2025	E832\n16:25 - Bray to Malahide (1 mins late)\nArrived Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	E245	19 Feb 2025	E245\n16:44 - Malahide to Bray (0 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	A119	19 Feb 2025	A119\n15:00 - Belfast to Dublin Connolly (2 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3629	-6.22753	E934	19 Feb 2025	E934\n16:01 - Greystones to Howth (0 mins late)\nDeparted Clontarf Road next stop Killester	Northbound
R	53.3632	-6.25908	P414	19 Feb 2025	P414\n16:40 - Hazelhatch to Grand Canal Dock (2 mins late)\nArrived Drumcondra next stop Dublin Connolly	Northbound
R	53.3725	-6.29869	P321	19 Feb 2025	P321\n16:40 - M3 Parkway to Docklands (0 mins late)\nDeparted Broombridge next stop Docklands	Southbound
R	53.3743	-6.48624	P760	19 Feb 2025	P760\n16:59 - Maynooth to Dublin Connolly (0 mins late)\nArrived Leixlip (Confey) next stop Clonsilla	Southbound
R	53.3755	-6.33135	D320	19 Feb 2025	D320\n16:54 - Docklands to M3 Parkway (3 mins late)\nArrived Ashtown next stop Navan Road Parkway	Northbound
R	53.3755	-6.33135	P665	19 Feb 2025	P665\n16:39 - Maynooth to Grand Canal Dock (3 mins late)\nArrived Ashtown next stop Pelletstown	Southbound
R	53.3815	-6.17699	E123	19 Feb 2025	E123\n16:55 - Howth to Greystones (1 mins late)\nDeparted Raheny next stop Harmonstown	Southbound
R	53.3816	-6.37149	D924	19 Feb 2025	D924\n16:39 - Grand Canal Dock to Maynooth (2 mins late)\nArrived Castleknock next stop Coolmine	To Maynooth
R	53.387	-6.16163	E831	19 Feb 2025	E831\n16:05 - Bray to Malahide (3 mins late)\nArrived Kilbarrack next stop Howth Junction	Northbound
R	53.392	-6.11448	E933	19 Feb 2025	E933\n15:55 - Bray to Howth (5 mins late)\nDeparted Sutton next stop Howth	Northbound
R	53.4157	-6.83395	A910	19 Feb 2025	A910\n16:02 - Dublin Connolly to Sligo (8 mins late)\nDeparted Enfield next stop Mullingar	Northbound
R	53.4169	-6.1512	D824	19 Feb 2025	D824\n16:53 - Dublin Connolly to Drogheda (2 mins late)\nArrived Portmarnock next stop Malahide	Northbound
R	53.4175	-6.46483	D319	19 Feb 2025	D319\n16:27 - Docklands to M3 Parkway (9 mins late)\nDeparted Dunboyne next stop M3 Parkway	Northbound
R	53.4273	-7.93683	A718	19 Feb 2025	A718\n15:35 - Dublin Heuston to Galway (2 mins late)\nDeparted Athlone next stop Ballinasloe	To Galway
